store,category,domain,website,lead_quality_score,priority_tier,known_source,why_high_quality,shopify_signal,best_email,public_emails,email_confidence,email_source_url,contact_pages_checked,linkedin_profiles_found,x_profiles_found,instagram_profiles_found,facebook_profiles_found,tiktok_profiles_found,youtube_profiles_found,public_profile_links,profile_status,hunter_domain_search,linkedin_search,channel,quick_check_command,exact_pitch,crawl_notes
Gymshark,Apparel,gymshark.com,https://us.checkout.gymshark.com/,100,A,Shopify Plus / top Shopify brand,High-volume apparel with sizing and product matching questions,yes,press@gymshark.com,press@gymshark.com; u003epress@gymshark.com; support@gymshark.com; u003esupport@gymshark.com; legal@intercom.io,high_site,https://support.gymshark.com/en/articles/11186132-contact-us,https://us.checkout.gymshark.com/; https://us.checkout.gymshark.com; https://support.gymshark.com/en/articles/11186132-contact-us; https://support.gymshark.com/en; https://us.checkout.gymshark.com/; https://us.checkout.gymshark.com/pages/about-us,,https://www.twitter.com/gymshark,https://www.instagram.com/gymshark,https://www.facebook.com/gymshark,https://www.tiktok.com/@gymshark,https://www.youtube.com/gymshark,https://www.twitter.com/gymshark; https://www.instagram.com/gymshark; https://www.facebook.com/gymshark; https://www.tiktok.com/@gymshark; https://www.youtube.com/gymshark,direct_profile_found,https://hunter.io/search/gymshark.com,https://www.linkedin.com/search/results/companies/?keywords=Gymshark,email first; LinkedIn or Instagram fallback,bun dev # then audit gymshark.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Gymshark, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your apparel catalog, answer buyer questions like high-volume apparel with sizing and product matching questions, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Gymshark, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Allbirds,Footwear,allbirds.com,https://www.allbirds.com/,100,A,Shopify Plus / top Shopify brand,Footwear discovery with materials sizing and use-case matching,yes,help@allbirds.com,help@allbirds.com; them@allbirds.com; bulkorders@allbirds.com; privacy@allbirds.com; legal@allbirds.com,high_site,https://www.allbirds.com/,https://www.allbirds.com/; https://www.allbirds.com; https://www.allbirds.com/pages/contact-us; https://www.allbirds.com/pages/help; https://www.allbirds.com/pages/press; https://www.allbirds.com/pages/our-story; https://www.allbirds.com/pages/accessibility,,https://twitter.com/allbirds,https://www.instagram.com/allbirds,https://www.facebook.com/weareallbirds,https://www.tiktok.com/@weareallbirds,https://www.youtube.com/channel/UCnGErLCau5qNJ0Xwe6uEyTw,https://twitter.com/allbirds; https://www.instagram.com/allbirds; https://www.facebook.com/weareallbirds; https://www.tiktok.com/@weareallbirds; https://www.youtube.com/channel/UCnGErLCau5qNJ0Xwe6uEyTw,direct_profile_found,https://hunter.io/search/allbirds.com,https://www.linkedin.com/search/results/companies/?keywords=Allbirds,email first; LinkedIn or Instagram fallback,bun dev # then audit allbirds.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Allbirds, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your footwear catalog, answer buyer questions like footwear discovery with materials sizing and use-case matching, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Allbirds, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Glossier,Beauty,glossier.com,https://www.glossier.com/,100,A,Shopify Plus / DTC beauty,Beauty routines shades and product education,yes,press@glossier.com,press@glossier.com; gteam@glossier.com; u003egteam@glossier.com; brand@glossier.com,high_site,https://www.glossier.com/pages/contact-us,https://www.glossier.com/; https://www.glossier.com; https://www.glossier.com/pages/contact-us; https://www.glossier.com/pages/contact-us; https://help.glossier.com/en-US; https://help.glossier.com/en-US; https://www.glossier.com/pages/about; https://www.glossier.com/pages/about; https://www.glossier.com/pages/accessibility; https://www.glossier.com/pages/authorized-retailers,,,https://www.instagram.com/glossier,https://www.facebook.com/glossier,https://www.tiktok.com/@glossier,https://www.youtube.com/glossierTV,https://www.instagram.com/glossier; https://www.facebook.com/glossier; https://www.tiktok.com/@glossier; https://www.youtube.com/glossierTV,direct_profile_found,https://hunter.io/search/glossier.com,https://www.linkedin.com/search/results/companies/?keywords=Glossier,email first; LinkedIn or Instagram fallback,bun dev # then audit glossier.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Glossier, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your beauty catalog, answer buyer questions like beauty routines shades and product education, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Glossier, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
SKIMS,Apparel,skims.com,https://skims.com,100,A,Shopify Plus / top Shopify brand,Sizing fit and product discovery,yes,help@skims.com,help@skims.com; brandreporting@skims.com,high_site,https://skims.com,https://skims.com; https://skims.com; https://skims.com/pages/contact-us; https://skims.com/pages/about; https://skims.com/pages/accessibility; https://skims.com/collections/light-support; https://skims.com/collections/mid-support; https://skims.com/collections/strong-support; https://skims.com/collections/extra-strong-support; https://skims.com/pages/faqs,,https://x.com/skims,https://www.instagram.com/skims,https://www.facebook.com/skimsbody,https://www.tiktok.com/@skims,https://www.youtube.com/c/skims,https://x.com/skims; https://www.instagram.com/skims; https://www.facebook.com/skimsbody; https://www.tiktok.com/@skims; https://www.youtube.com/c/skims,direct_profile_found,https://hunter.io/search/skims.com,https://www.linkedin.com/search/results/companies/?keywords=SKIMS,email first; LinkedIn or Instagram fallback,bun dev # then audit skims.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For SKIMS, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your apparel catalog, answer buyer questions like sizing fit and product discovery, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread SKIMS, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Fashion Nova,Apparel,fashionnova.com,https://www.fashionnova.com/,100,A,Shopify Plus / top Shopify brand,Mass apparel catalog and sizing,yes,guide@fashionnova.com,guide@fashionnova.com; center@fashionnova.com,high_site,https://www.fashionnova.com/pages/faq,https://www.fashionnova.com/; https://www.fashionnova.com; https://www.fashionnova.com/pages/help-center; https://www.fashionnova.com/pages/help-center; https://www.fashionnova.com/pages/help-center; https://www.fashionnova.com/pages/faq; https://www.fashionnova.com/; https://www.fashionnova.com/; https://www.fashionnova.com/; https://www.fashionnova.com/,,,https://www.instagram.com/fashionnova,https://www.facebook.com/FashionNova,https://www.tiktok.com/@fashionnova,https://www.youtube.com/fashionnova,https://www.instagram.com/fashionnova; https://www.facebook.com/FashionNova; https://www.tiktok.com/@fashionnova; https://www.youtube.com/fashionnova,direct_profile_found,https://hunter.io/search/fashionnova.com,https://www.linkedin.com/search/results/companies/?keywords=Fashion%20Nova,email first; LinkedIn or Instagram fallback,bun dev # then audit fashionnova.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Fashion Nova, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your apparel catalog, answer buyer questions like mass apparel catalog and sizing, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Fashion Nova, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Kylie Cosmetics,Beauty,kyliecosmetics.com,https://kyliecosmetics.com,100,A,Shopify Plus / top Shopify brand,Beauty shade and routine discovery,yes,customerservice@kyliecosmetics.com,customerservice@kyliecosmetics.com; available@www.kyliecosmetics.com,high_site,https://kyliecosmetics.com/pages/accessibility,https://kyliecosmetics.com; https://kyliecosmetics.com; https://kyliecosmetics.com/pages/contact; https://kyliecosmetics.com/pages/contact; https://kyliecosmetics.com/pages/faq; https://kyliecosmetics.com/pages/faq; https://kyliecosmetics.com/pages/about-us; https://kyliecosmetics.com/pages/accessibility,,https://twitter.com/kyliecosmetics,https://www.instagram.com/kyliecosmetics,https://www.facebook.com/KylieCosmetics,https://www.tiktok.com/@kyliecosmetics,,https://twitter.com/kyliecosmetics; https://www.instagram.com/kyliecosmetics; https://www.facebook.com/KylieCosmetics; https://www.tiktok.com/@kyliecosmetics,direct_profile_found,https://hunter.io/search/kyliecosmetics.com,https://www.linkedin.com/search/results/companies/?keywords=Kylie%20Cosmetics,email first; LinkedIn or Instagram fallback,bun dev # then audit kyliecosmetics.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Kylie Cosmetics, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your beauty catalog, answer buyer questions like beauty shade and routine discovery, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Kylie Cosmetics, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Cometeer,Food & Beverage,cometeer.com,https://cometeer.com,100,A,Shopify DTC example,Coffee discovery with subscription mechanics,yes,support@cometeer.com,support@cometeer.com; office@cometeer.com,high_site,https://cometeer.com/pages/contact-us,https://cometeer.com; https://cometeer.com; https://cometeer.com/pages/contact-us; https://cometeer.com/pages/accessibility,,https://twitter.com/cometeer,https://www.instagram.com/cometeer,https://www.facebook.com/cometeer,,,https://twitter.com/cometeer; https://www.instagram.com/cometeer; https://www.facebook.com/cometeer,direct_profile_found,https://hunter.io/search/cometeer.com,https://www.linkedin.com/search/results/companies/?keywords=Cometeer,email first; LinkedIn or Instagram fallback,bun dev # then audit cometeer.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Cometeer, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like coffee discovery with subscription mechanics, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Cometeer, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
DEUX,Food & Beverage,eatdeux.com,https://www.eatdeux.com/,100,A,Shopify DTC example,Functional dessert and dietary questions,yes,hello@eatdeux.com,hello@eatdeux.com; support@eatdeux.com,high_site,https://www.eatdeux.com/pages/contact,https://www.eatdeux.com/; https://www.eatdeux.com; https://www.eatdeux.com/pages/contact; https://www.eatdeux.com/pages/about; https://www.eatdeux.com/pages/pl-faq,,https://www.eatdeux.com/cdn/shop/t/151/assets/bundle.css; https://www.eatdeux.com/cdn/shop/t/151/assets/bundle.js; https://www.eatdeux.com/cdn/shop/files/Slice_2_30_32x32.png; https://www.eatdeux.com; https://www.eatdeux.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css,https://www.instagram.com/eatdeux,,https://www.tiktok.com/@eatdeux,,https://www.eatdeux.com/cdn/shop/t/151/assets/bundle.css; https://www.eatdeux.com/cdn/shop/t/151/assets/bundle.js; https://www.eatdeux.com/cdn/shop/files/Slice_2_30_32x32.png; https://www.instagram.com/eatdeux; https://www.tiktok.com/@eatdeux,direct_profile_found,https://hunter.io/search/eatdeux.com,https://www.linkedin.com/search/results/companies/?keywords=DEUX,email first; LinkedIn or Instagram fallback,bun dev # then audit eatdeux.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For DEUX, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your food & beverage catalog, answer buyer questions like functional dessert and dietary questions, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread DEUX, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Mejuri,Jewelry,mejuri.com,https://mejuri.com,95,A,Shopify Plus / top Shopify brand,High-AOV jewelry and gifting,yes,contact@mejuri.com,contact@mejuri.com,high_site,https://mejuri.com,https://mejuri.com; https://mejuri.com; https://mejuri.com/pages/contact; https://mejuri.com/contact; https://mejuri.com/contact-us; https://mejuri.com/pages/contact-us; https://mejuri.com/pages/help; https://mejuri.com/help; https://mejuri.com/support; https://mejuri.com/pages/support,,https://x.com/intent/user,https://www.instagram.com/mejuri,https://www.facebook.com/mejuri,,,https://x.com/intent/user; https://www.instagram.com/mejuri; https://www.facebook.com/mejuri,direct_profile_found,https://hunter.io/search/mejuri.com,https://www.linkedin.com/search/results/companies/?keywords=Mejuri,email first; LinkedIn or Instagram fallback,bun dev # then audit mejuri.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Mejuri, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your jewelry catalog, answer buyer questions like high-aov jewelry and gifting, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Mejuri, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
Pura Vida,Jewelry,puravidabracelets.com,https://www.puravidabracelets.com/,95,A,Top Shopify brand,Jewelry gifting and collection discovery,yes,info@puravidabracelets.com,info@puravidabracelets.com; gzacarias@cloudcreations.com,high_site,https://www.puravidabracelets.com/pages/accessibility,https://www.puravidabracelets.com/; https://www.puravidabracelets.com; https://puravidabracelets.kustomer.help/contact/contact-us-jn23-ByJPhOe3i; https://www.puravidabracelets.com/pages/wholesale; https://www.puravidabracelets.com/pages/wholesale; https://www.puravidabracelets.com/pages/press; https://www.puravidabracelets.com/pages/about-us; https://www.puravidabracelets.com/pages/about-us; https://www.puravidabracelets.com/pages/accessibility; https://www.puravidabracelets.com/pages/retail-stores,,,https://www.instagram.com/puravida,https://www.facebook.com/puravidabracelets,https://www.tiktok.com/@puravida,,https://www.instagram.com/puravida; https://www.facebook.com/puravidabracelets; https://www.tiktok.com/@puravida,direct_profile_found,https://hunter.io/search/puravidabracelets.com,https://www.linkedin.com/search/results/companies/?keywords=Pura%20Vida,email first; LinkedIn or Instagram fallback,bun dev # then audit puravidabracelets.com,"Hi {first_name} - I'm building Agent Audit for commerce teams. For Pura Vida, the high-value question is whether ChatGPT, Perplexity, and shopping assistants can correctly understand your jewelry catalog, answer buyer questions like jewelry gifting and collection discovery, and land shoppers on the right PDP without losing intent. I can send a free 3-page audit showing the exact prompts where agents misread Pura Vida, cite the wrong product, or fail to preserve purchase context. Worth sending over?",
