store,category,domain,website,x_link,hunter_domain_search,linkedin_search,channel,note,quick_check_command,exact_pitch
"Ridge","Apparel & eyewear","ridge.com","https://ridge.com","undefined","undefined","undefined","manual_dm","Sean Frank (@SeanEcom) — posts about payments constantly. DM, don't email","undefined","undefined"
"True Classic","Apparel & eyewear","trueclassictees.com","https://trueclassictees.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Cuts Clothing","Apparel & eyewear","cutsclothing.com","https://cutsclothing.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Fresh Clean Threads","Apparel & eyewear","freshcleanthreads.com","https://freshcleanthreads.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Western Rise","Apparel & eyewear","westernrise.com","https://westernrise.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Birddogs","Apparel & eyewear","birddogs.com","https://birddogs.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Ten Thousand","Apparel & eyewear","tenthousand.cc","https://tenthousand.cc","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Rhone","Apparel & eyewear","rhone.com","https://rhone.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Mack Weldon","Apparel & eyewear","mackweldon.com","https://mackweldon.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Public Rec","Apparel & eyewear","publicrec.com","https://publicrec.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Buck Mason","Apparel & eyewear","buckmason.com","https://buckmason.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Tracksmith","Apparel & eyewear","tracksmith.com","https://tracksmith.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Janji","Apparel & eyewear","janji.com","https://janji.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Bandit Running","Apparel & eyewear","banditrunning.com","https://banditrunning.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Goodr","Apparel & eyewear","goodr.com","https://goodr.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Jones Road Beauty","Beauty & personal care","jonesroadbeauty.com","https://jonesroadbeauty.com","undefined","undefined","undefined","manual_dm","Cody Plofker (@codyplof) — DM","undefined","undefined"
"Topicals","Beauty & personal care","mytopicals.com","https://mytopicals.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Starface","Beauty & personal care","starface.world","https://starface.world","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Bubble","Beauty & personal care","hellobubble.com","https://hellobubble.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Geologie","Beauty & personal care","geologie.com","https://geologie.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Oars + Alps","Beauty & personal care","oarsandalps.com","https://oarsandalps.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Duke Cannon","Beauty & personal care","dukecannon.com","https://dukecannon.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Beardbrand","Beauty & personal care","beardbrand.com","https://beardbrand.com","undefined","undefined","undefined","manual_dm","Eric Bandholz — eCommerceFuel regular, DM","undefined","undefined"
"Boka","Beauty & personal care","boka.com","https://boka.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Jolie","Beauty & personal care","jolieskinco.com","https://jolieskinco.com","undefined","undefined","undefined","manual_dm","Ryan Babenzien active on X — DM","undefined","undefined"
"Doe Lashes","Beauty & personal care","doelashes.com","https://doelashes.com","undefined","undefined","undefined","manual_dm","Jason Wong (@EggrolI) — DM","undefined","undefined"
"Graza","Food & beverage","graza.co","https://graza.co","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Fly By Jing","Food & beverage","flybyjing.com","https://flybyjing.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Omsom","Food & beverage","omsom.com","https://omsom.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Momofuku Goods","Food & beverage","shop.momofuku.com","https://shop.momofuku.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Brightland","Food & beverage","brightland.co","https://brightland.co","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Sanzo","Food & beverage","drinksanzo.com","https://drinksanzo.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Immi","Food & beverage","immieats.com","https://immieats.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Magic Spoon","Food & beverage","magicspoon.com","https://magicspoon.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Mid-Day Squares","Food & beverage","middaysquares.com","https://middaysquares.com","undefined","undefined","undefined","manual_dm","Founders document everything publicly — DM","undefined","undefined"
"Masa Chips","Food & beverage","masachips.com","https://masachips.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Chomps","Food & beverage","chomps.com","https://chomps.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Kettle & Fire","Food & beverage","kettleandfire.com","https://kettleandfire.com","undefined","undefined","undefined","manual_dm","Justin Mares — DM","undefined","undefined"
"Aura Bora","Food & beverage","aurabora.com","https://aurabora.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Ghia","Food & beverage","drinkghia.com","https://drinkghia.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Recess","Food & beverage","takearecess.com","https://takearecess.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Jocko Fuel","Food & beverage","jockofuel.com","https://jockofuel.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Everyday Dose","Food & beverage","everydaydose.com","https://everydaydose.com","undefined","undefined","undefined","manual_dm","Jack Savage active on X — DM","undefined","undefined"
"MUD\WTR","Food & beverage","mudwtr.com","https://mudwtr.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Legion Athletics","Supplements & wellness","legionathletics.com","https://legionathletics.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Transparent Labs","Supplements & wellness","transparentlabs.com","https://transparentlabs.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Momentous","Supplements & wellness","livemomentous.com","https://livemomentous.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Thesis","Supplements & wellness","takethesis.com","https://takethesis.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
"Cymbiotika","Supplements & wellness","cymbiotika.com","https://cymbiotika.com","undefined","undefined","undefined","email_after_enrichment","","undefined","undefined"
