order_id,status,type,amount,initiated_at
100457,needs_response,inquiry,36.00,2026-03-24T21:38:00Z
100606,needs_response,chargeback,18.00,2026-03-27T11:51:00Z
100672,won,inquiry,189.00,2026-03-29T16:25:00Z
100834,under_review,chargeback,89.00,2026-04-01T15:25:00Z
100916,lost,chargeback,36.00,2026-04-03T17:28:00Z
101361,won,inquiry,24.00,2026-04-12T01:00:00Z
101423,under_review,inquiry,,2026-04-13T18:41:00Z
101524,under_review,inquiry,36.00,2026-04-15T21:42:00Z
101555,needs_response,inquiry,28.00,2026-04-16T03:06:00Z
101902,needs_response,chargeback,24.00,2026-04-22T01:22:00Z
102002,under_review,chargeback,28.00,2026-04-24T23:36:00Z
102023,won,chargeback,28.00,2026-04-25T17:57:00Z
102217,under_review,chargeback,50.00,2026-04-28T04:17:00Z
102310,lost,chargeback,36.00,2026-04-30T12:52:00Z
102319,lost,chargeback,36.00,2026-04-30T15:35:00Z
102359,under_review,inquiry,36.00,2026-04-30T09:00:00Z
102456,needs_response,chargeback,28.00,2026-05-02T09:32:00Z
102595,under_review,chargeback,89.00,2026-05-04T21:02:00Z
102737,under_review,chargeback,,2026-05-07T09:37:00Z
102809,under_review,inquiry,36.00,2026-05-08T07:30:00Z
103028,lost,chargeback,50.00,2026-05-12T02:36:00Z
103157,under_review,chargeback,36.00,2026-05-14T07:08:00Z
103206,lost,chargeback,28.00,2026-05-15T08:45:00Z
103352,needs_response,inquiry,28.00,2026-05-17T17:35:00Z
103520,won,chargeback,189.00,2026-05-20T17:46:00Z
103666,under_review,chargeback,89.00,2026-05-22T17:22:00Z
103839,won,inquiry,24.00,2026-05-25T10:40:00Z
104119,under_review,chargeback,24.00,2026-05-29T04:11:00Z
104409,needs_response,chargeback,36.00,2026-06-03T11:47:00Z
104588,needs_response,inquiry,24.00,2026-06-05T07:00:00Z
104664,under_review,inquiry,,2026-06-07T12:32:00Z
104681,lost,chargeback,189.00,2026-06-07T17:17:00Z
