id,source_name,app_id,user_agent,browser_ip,referring_site,landing_site,total_price,created_at,financial_status
100001,web,580111,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",67.183.110.140,,/products/x,89.00,2026-03-14T16:55:00Z,paid
100002,web,580111,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",174.56.49.169,https://www.bing.com/,/products/x,89.00,2026-03-14T21:20:00Z,paid
100003,web,580111,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",24.61.251.167,https://www.bing.com/,/products/x,24.00,2026-03-14T19:53:00Z,paid
100004,web,580111,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",174.56.250.209,https://www.google.com/,/products/x,24.00,2026-03-14T11:09:00Z,voided
100005,web,580111,"Mozilla/5.0 (compatible; PerplexityBot/1.0; +https://perplexity.ai/perplexitybot)",100.34.159.46,,/products/x,36.00,2026-03-14T06:37:00Z,paid
100006,web,580111,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",98.42.250.214,https://www.bing.com/,/products/x,54.00,2026-03-14T12:09:00Z,paid
100007,web,580111,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",98.42.53.236,,/products/x,89.00,2026-03-14T10:07:00Z,paid
100008,web,580111,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",24.61.102.123,,/products/x,54.00,2026-03-14T01:10:00Z,paid
100009,web,580111,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0 Mobile Safari/537.36",67.183.64.94,https://www.tiktok.com/,/products/x,28.00,2026-03-14T00:05:00Z,paid
100010,web,580111,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15",98.42.210.201,,/products/x,28.00,2026-03-14T21:42:00Z,paid
